862.000000 862.000000 0.001005
870.000000 870.000000 0.000984
869.000000 869.000000 0.001006
872.000000 872.000000 0.000981
859.000000 859.000000 0.000999
859.000000 859.000000 0.001013
853.000000 853.000000 0.001023
861.000000 861.000000 0.001012
890.000000 890.000000 0.001005
880.000000 880.000000 0.001004
868.000000 868.000000 0.001009
865.000000 865.000000 0.001008
858.000000 858.000000 0.001012
871.000000 871.000000 0.000996
863.000000 863.000000 0.001021
869.000000 869.000000 0.001004
865.000000 865.000000 0.001027
857.000000 857.000000 0.001039
855.000000 855.000000 0.000985
869.000000 869.000000 0.001001
