0.925 1000$\times$500 & 0.898 & 3.177 \\
0.950 1000$\times$500 & 0.887 & 2.907 \\
0.975 1000$\times$500 & 0.862 & 2.344 \\
0.990 1000$\times$500 & 0.814 & 1.563 \\
0.995 1000$\times$500 & 0.812 & 1.266 \\
