182.720120 0.188570 140.169231 293.000000 1.900407
182.197535 0.196571 138.873537 295.000000 1.909635
181.434014 0.213295 139.479765 294.000000 1.875533
181.849675 0.203936 139.280759 299.000000 1.841420
178.174445 0.215906 136.717370 296.000000 1.851874
185.750135 0.151162 139.847974 296.000000 1.842333
183.448474 0.140174 140.219886 298.000000 1.864723
179.386279 0.194526 138.273122 296.000000 1.845190
191.685394 0.151999 144.783942 303.000000 1.799714
187.364600 0.168209 142.267446 299.000000 1.835526
181.623749 0.195710 139.217649 300.000000 1.828851
175.320489 0.220054 135.576623 293.000000 1.818218
176.091376 0.240209 136.469695 298.000000 1.813425
181.698444 0.178241 139.141449 302.000000 1.843583
186.974371 0.178809 143.254597 303.000000 1.835083
181.557479 0.193540 139.091260 292.000000 1.846142
186.713411 0.154676 141.578834 300.000000 1.839504
180.677803 0.172925 137.976684 296.000000 1.816507
180.231046 0.183525 139.351021 295.000000 1.866233
181.137173 0.215114 138.969018 296.000000 1.835712
