0.900 0.950 0.975 0.990 0.995
10000:0.915847 0.898459 0.867321 0.860574 1.000000|2.333247 1.926742 1.511244 1.157895 1.000000|0.055929 0.032234 0.024408 0.018911 0.012424|0.075115 0.051471 0.025418 0.002539 0.001201
1000:0.909649 0.894815 0.865733 0.860057 1.000000|2.484251 2.022243 1.557144 1.190729 1.000000|0.006279 0.003430 0.002542 0.001996 0.001303|0.075115 0.051471 0.025418 0.002539 0.001201
100:0.858139 0.861834 0.848304 0.854147 1.000000|2.956745 2.265772 1.712055 1.232255 1.000000|0.000738 0.000385 0.000297 0.000233 0.000146|0.075115 0.051471 0.025418 0.002539 0.001201
